I Träger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IPE,,,,,,,,,,,,,,,,,,,Knicklinie,,,,,,,,,,,
,h,b,s,t,r,h-2c,A,G,U,Sy,Jy,Wy,iy,Jz,Wz,iz,"Mpl,y,d","Npl,x,d","Vpl,z,d",Y-y,Z-z,,,,,,,,,,Berechnung Abminderungsfaktor ?
HEA 550,,,,,,,,166,,1310,111900,4150,,,,,,,,a,b,,,,,,,,,,
HEA 600,,,,,,,,178,,2680,141200,4790,,,,,,,,a,b,,,,,,,,,,
HEA 650,,,,,,,,190,,3070,175200,5470,,,,,,,,a,b,,,,,,,,,,
HEA 700,,,,,,,,204,,3520,215300,6240,,,,,,,,a,b,,,,,,,,,,
HEA 800,,,,,,,,224,,4350,303400,7680,,,,,,,,,,,,,,,,,,,
HEA 900,,,,,,,,252,,5410,422100,9480,,,,,,,,,,,,,,,,,,,
HEA 1000,,,,,,,,272,,6410,553800,11190,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HEM,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
,h,b,s,t,r,h-2c,A,G,U,Sy,Jy,Wy,iy,Jz,Wz,iz,"Mpl,y,d","Npl,x,d","Vpl,z,d",a,b,,,,,,,,,,
,,,,,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,
HEM 100,,,,,,,,"41,8",,118,1140,190,,,,,,,,,,,,,,,,,,,
HEM 120,,,,,,,,"52,1",,175,2020,288,,,,,,,,,,,,,,,,,,,
HEM 140,,,,,,,,"63,2",,247,3290,411,,,,,,,,,,,,,,,,,,,
HEM 160,,,,,,,,"76,2",,337,5100,566,,,,,,,,,,,,,,,,,,,
HEM 180,,,,,,,,"88,9",,442,7480,748,,,,,,,,,,,,,,,,,,,
HEM 200,,,,,,,,103,,568,10640,967,,,,,,,,,,,,,,,,,,,
HEM 220,,,,,,,,117,,710,14600,1220,,,,,,,,,,,,,,,,,,,
HEM 240,,,,,,,,157,,1060,24290,1800,,,,,,,,,,,,,,,,,,,
HEM 260,,,,,,,,172,,1260,31310,2160,,,,,,,,,,,,,,,,,,,
HEM 280,,,,,,,,189,,1480,39500,2550,,,,,,,,,,,,,,,,,,,
HEM 300,,,,,,,,238,,2040,59200,3480,,,,,,,,,,,,,,,,,,,
HEM 320/305,,,,,,,,177,,1460,40950,2560,,,,,,,,,,,,,,,,,,,
HEM 320,,,,,,,,245,,2220,68130,3800,,,,,,,,,,,,,,,,,,,
HEM 340,,,,,,,,248,,2360,76370,4050,,,,,,,,,,,,,,,,,,,
HEM 360,,,,,,,,250,,2490,84870,4300,,,,,,,,,,,,,,,,,,,
HEM 400,,,,,,,,256,,2790,104100,4820,,,,,,,,,,,,,,,,,,,
HEM 450,,,,,,,,263,,3170,131500,5500,,,,,,,,,,,,,,,,,,,
HEM 500,,,,,,,,270,,3550,161900,6180,,,,,,,,,,,,,,,,,,,
HEM 550,,,,,,,,278,,3970,198000,6920,,,,,,,,,,,,,,,,,,,
HEM 600,,,,,,,,285,,4390,237400,7660,,,,,,,,,,,,,,,,,,,
HEM 650,,,,,,,,293,,4830,281700,8430,,,,,,,,,,,,,,,,,,,
HEM 700,,,,,,,,301,,5270,329300,9200,,,,,,,,,,,,,,,,,,,
HEM 800,,,,,,,,317,,6240,442600,10870,,,,,,,,,,,,,,,,,,,
HEM 900,,,,,,,,333,,7220,570400,12540,,,,,,,,,,,,,,,,,,,
HEM 1000,,,,,,,,349,,8280,722300,14330,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kreisförmige Hohlprofile,,,,,KFH,,,,,,,,,,,,,,,,,,,,,,,,,
,D,,s,t,r,h-2c,A,G,U,Sy,Jy,Wy,iy,Jz,Wz,iz,"Mpl,y,d","Npl,x,d","Vpl,z,d",,,,,,,,,,,,
"KFH21,3 / 3,2","21,3",,"3,2",,,,"1,82",,,,"0,77","0,72",650.00,"0,77","0,72",650.00,,,,c,c,,,,,,,,,,
"KFH26,9 / 3,2","26,9",,"3,2",,,,"2,38",,,,"1,7","1,27",848.00,"1,7","1,27",848.00,,,,c,c,,,,,,,,,,
"KFH33,7 / 2,6","33,7",,"2,6",,,,"2,54",,,,"3,09","1,84",1.1,"3,09","1,84",1.1,,,,c,c,,,,,,,,,,
"KFH33,7 / 3,2","33,7",,"3,2",,,,"3,07",,,,"3,6","2,14",1.08,"3,6","2,14",1.08,,,,c,c,,,,,,,,,,
"KFH33,7 / 4,1","33,7",,"4,1",,,,"3,73",,,,"4,19","2,49",1.06,"4,19","2,49",1.06,,,,c,c,,,,,,,,,,
"KFH42,4 / 2,6","42,4",,"2,6",,,,"3,25",,,,"6,46","3,05",1.41,"6,46","3,05",1.41,,,,c,c,,,,,,,,,,
"KFH42,4 / 3,2","42,4",,"3,2",,,,"3,94",,,,"7,62","3,59",1.39,"7,62","3,59",1.39,,,,c,c,,,,,,,,,,
"KFH42,4 / 4,1","42,4",,"4,1",,,,"4,83",,,,"8,99","4,24",1.36,"8,99","4,24",1.36,,,,c,c,,,,,,,,,,
"KFH48,3 / 3,2","48,3",,"3,2",,,,"4,53",,,,"11,6","4,8",1.6,"11,6","4,8",1.6,,,,c,c,,,,,,,,,,
"KFH48,3 / 4,0","48,3",,"4,0",,,,"5,57",,,,"13,8","5,7",1.57,"13,8","5,7",1.57,,,,c,c,,,,,,,,,,
"KFH48,3 / 5,0","48,3",,"5,0",,,,"6,8",,,,"16,2","6,69",1.54,"16,2","6,69",1.54,,,,c,c,,,,,,,,,,
